"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Belgium","BEL","Number of infant deaths","SH.DTH.IMRT","4585","4399","4225","4064","3970","3777","3531","3311","3106","2967","2875","2757","2568","2327","2095","1901","1774","1689","1614","1551","1491","1428","1352","1266","1193","1135","1105","1084","1060","1037","1017","997","955","884","800","731","683","643","604","574","558","541","518","499","493","491","490","486","483","476","469","459","446","434","424","415","407","400","391","381","369","362","357","",
"Benin","BEN","Number of infant deaths","SH.DTH.IMRT","19978","20269","20524","20651","20770","20850","20883","20879","20892","20926","20971","21052","21130","21140","21122","21138","21161","21200","21236","21420","21800","22173","22430","22568","22731","22918","23085","23255","23399","23441","23511","23649","23716","23810","24575","24794","24304","24178","24164","24178","24154","24138","24236","24477","24700","24806","25016","25148","25080","25112","25212","25352","25555","25786","26069","26283","26461","26582","26531","26339","26060","25773","25442","",
"Burkina Faso","BFA","Number of infant deaths","SH.DTH.IMRT","33382","33673","34005","34359","34795","35245","35698","36180","36678","37078","37376","37618","37731","37765","37699","37510","37278","37166","37339","37559","37741","37951","38188","38487","38937","39482","39816","39982","40137","40429","41023","41814","42630","43385","44156","44916","45580","46048","46383","46784","47260","47573","47690","47895","47975","47915","47936","47737","47300","46817","46364","46003","45643","45213","44682","44003","43092","42092","41319","40810","40229","39693","39195","",
"Bangladesh","BGD","Number of infant deaths","SH.DTH.IMRT","416343","420432","423693","425306","426215","428123","431847","438846","448336","459050","521810","657818","480708","490696","496861","501142","505400","509261","509485","508635","506998","503783","499939","489101","474994","461450","445227","427702","409039","391839","374720","353550","332700","315219","302512","289293","274612","264997","255632","243952","232883","222350","211913","201350","190417","178317","166090","155302","144882","134397","124518","115764","108877","103928","99477","94770","90767","86666","83121","80606","77714","74844","72075","",
"Bulgaria","BGR","Number of infant deaths","SH.DTH.IMRT","6281","5669","5046","4604","4344","4135","4000","3972","4180","4281","4030","3742","3528","3502","3637","3608","3456","3288","3059","2848","2623","2401","2260","2149","2027","1894","1791","1704","1647","1630","1602","1527","1432","1361","1286","1191","1130","1059","996","1019","1029","971","908","868","839","810","785","770","761","759","725","657","595","540","499","464","429","399","371","347","326","306","289","",
"Bahrain","BHR","Number of infant deaths","SH.DTH.IMRT","963","914","868","822","776","729","676","621","569","519","476","437","406","381","361","344","330","318","306","295","284","274","267","264","262","263","266","267","268","273","275","271","264","253","236","215","196","181","170","163","157","151","149","151","154","156","155","150","145","142","141","139","135","133","134","136","135","131","127","121","114","104","96","",
"Bahamas, The","BHS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","129","133","137","140","141","139","134","131","133","133","132","131","132","133","134","136","137","137","135","131","128","127","127","130","129","117","108","101","95","93","86","82","82","82","80","80","84","80","76","79","81","76","70","68","63","61","62","58","56","54","71","53","53","52","",
"Bosnia and Herzegovina","BIH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","1841","1659","1495","1348","1210","1090","998","2010","1746","583","590","454","479","475","418","364","331","310","294","279","263","246","241","238","231","219","201","191","186","177","173","173","173","171","166","158","150","142","",
"Belarus","BLR","Number of infant deaths","SH.DTH.IMRT","7638","6829","6052","5266","4493","3872","3456","3182","2992","2844","2782","2776","2742","2681","2668","2667","2665","2686","2696","2683","2653","2608","2571","2554","2511","2417","2368","2271","2135","2013","1855","1722","1646","1569","1468","1362","1257","1155","1088","1044","978","898","810","739","686","639","597","569","542","518","484","446","429","418","399","377","350","304","254","222","202","184","170","",
"Belize","BLZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","330","325","321","318","315","312","308","304","302","301","300","296","292","288","285","278","267","255","244","233","225","218","211","200","188","177","168","161","157","155","154","151","149","146","143","138","134","132","128","124","122","119","116","114","113","111","109","105","100","96","92","85","75","71","67","",
"Bermuda","BMU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Number of infant deaths","SH.DTH.IMRT","","27778","27772","27742","27668","27582","27479","27369","27277","27149","26993","26829","26620","26378","26140","25844","25571","25335","25081","24806","24537","24284","24001","23689","23378","23073","22747","22396","21990","21510","21004","20448","19826","19146","18395","17641","16947","16213","15496","14875","14184","13435","12746","12140","11568","11027","10590","10141","9636","9155","8701","8276","7867","7468","7098","6759","6465","6191","5944","5719","5511","5323","5145","",
"Brazil","BRA","Number of infant deaths","SH.DTH.IMRT","395422","394017","391852","388414","383551","376617","369146","361152","352794","346510","342065","337614","333031","329113","323921","319045","315640","311889","307137","301313","294311","286286","277158","267477","257219","246784","236245","226277","216278","206298","196208","186096","175589","165814","156923","148268","139630","130988","122933","114497","106020","98010","90166","82349","76107","71091","65969","60992","56664","53256","50597","48366","46239","44323","43279","42721","44424","39968","39705","38582","36731","35298","34276","",
"Barbados","BRB","Number of infant deaths","SH.DTH.IMRT","502","463","424","385","350","317","289","264","241","221","204","188","176","165","155","145","136","128","121","116","110","104","99","95","90","86","82","78","74","70","66","62","59","56","54","52","51","50","49","49","49","50","51","51","51","51","50","49","47","46","45","43","42","41","39","38","37","36","35","34","33","32","31","",
"Brunei Darussalam","BRN","Number of infant deaths","SH.DTH.IMRT","","","","","176","170","165","162","160","159","158","157","154","148","141","133","125","116","108","100","93","87","82","78","75","74","73","72","73","74","75","76","76","75","72","68","64","61","57","55","53","52","51","50","49","49","49","50","51","52","54","57","58","59","60","60","59","58","57","55","54","53","52","",
"Bhutan","BTN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","2362","2364","2368","2365","2364","2358","2351","2344","2338","2327","2308","2282","2249","2210","2170","2128","2084","2042","1994","1942","1888","1830","1766","1684","1514","1348","1250","1164","1083","1005","936","872","813","759","706","670","641","600","561","525","486","450","418","390","369","348","328","303","275","248","224","210","201","194","",
"Botswana","BWA","Number of infant deaths","SH.DTH.IMRT","2695","2653","2613","2597","2602","2595","2563","2508","2453","2397","2338","2282","2254","2261","2286","2304","2308","2295","2268","2240","2206","2168","2116","2047","1978","1918","1858","1789","1721","1683","1681","1716","1772","1854","1932","1994","1911","1902","1892","1897","1876","1876","1927","2009","2111","2101","2218","2436","2564","2578","2624","2684","2480","2403","2411","2343","2313","2163","2111","2067","2010","1954","1884","",
"Central African Republic","CAF","Number of infant deaths","SH.DTH.IMRT","","11390","11445","11506","11574","11667","11791","11921","12042","12122","12118","12116","12091","12033","11983","11952","11994","12102","12225","12389","12556","12720","12887","13041","13218","13417","13628","13847","14035","14223","14496","14815","15072","15315","15592","15922","16205","16386","16568","16796","17031","17178","17208","17317","17419","17467","17505","17554","17608","17672","17814","17883","17808","17615","17174","16571","16272","16528","16690","16745","16893","17085","17117","",
"Canada","CAN","Number of infant deaths","SH.DTH.IMRT","13055","12579","12035","11463","10800","9812","8691","7846","7298","6975","6726","6391","5948","5522","5210","4992","4794","4577","4323","4097","3908","3691","3501","3352","3227","3109","3000","2902","2839","2846","2860","2734","2556","2424","2309","2206","2089","1958","1856","1796","1734","1708","1712","1722","1735","1742","1770","1826","1872","1878","1855","1830","1822","1805","1784","1753","1715","1704","1686","1646","1633","1637","1627","",
"Central Europe and the Baltics","CEB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24615","22704","21118","19604","18167","16505","14932","13762","12682","11685","10915","10246","9689","9349","9064","8798","8462","8065","7845","7614","7118","6454","5949","5555","5269","5071","4876","4733","4516","4232","4006","3870","3813","",
"Switzerland","CHE","Number of infant deaths","SH.DTH.IMRT","2016","2033","2074","2116","2117","2046","1932","1814","1707","1604","1504","1396","1267","1138","1025","912","803","723","665","627","607","590","575","560","548","541","539","539","544","548","541","530","516","488","454","430","415","400","383","372","364","344","325","318","313","309","303","300","300","302","306","307","308","309","311","315","315","313","309","306","304","306","307","",
"Channel Islands","CHI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Number of infant deaths","SH.DTH.IMRT","35201","34564","33583","32149","30021","27311","24581","22243","20482","19315","18658","18257","17883","17264","16119","14481","12660","10894","9373","8204","7358","6681","6069","5570","5281","5201","5221","5234","5175","5013","4744","4409","4019","3649","3354","3101","2905","2765","2638","2482","2292","2130","2020","1924","1837","1780","1759","1774","1808","1826","1811","1776","1733","1696","1665","1622","1555","1473","1411","1373","1335","1293","1247","",
"China","CHN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","2450495","2294272","2081601","1907568","1713202","1477162","1286903","1138663","1032216","1005137","1001419","999616","1029356","983687","938701","982338","1049713","1127924","1140716","1137841","1176610","1071696","910991","838722","781876","730785","678288","626118","577606","534006","507886","468747","418545","379875","348091","320805","295968","275295","258356","242512","223979","204515","195144","181308","164701","148194","135167","128068","109110","89753","74130","59287","51680","",
"Cote d'Ivoire","CIV","Number of infant deaths","SH.DTH.IMRT","40881","41395","41831","42314","42787","43205","43587","43966","44337","44635","44910","45185","45478","45787","46099","46254","46325","46858","47395","47920","48648","49190","49603","49992","50321","50522","50747","51031","51623","53671","55993","57633","59213","60539","61624","63122","64670","66112","67666","68729","69144","68918","68152","67290","66175","64725","63587","62073","60600","59409","58432","57653","56423","54991","53688","52865","52599","52346","51656","50435","49846","49295","48729","",
"Cameroon","CMR","Number of infant deaths","SH.DTH.IMRT","35928","36122","36428","36852","37162","37267","37174","36855","36346","35814","35450","35289","35287","35536","36035","36762","37735","38712","39514","40153","40619","41087","41420","40796","39850","39466","39504","39763","40116","40714","41745","43163","44746","46335","47869","49122","50049","50803","51664","52597","53092","53066","53175","53587","53975","54299","54251","54365","54221","54281","53490","52845","51731","50387","49629","48957","49086","48663","47870","47220","46336","45285","44497","",
"Congo, Dem. Rep.","COD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","138048","140214","141978","143218","144504","145739","146831","147803","148899","151981","156189","159195","161509","164332","167830","172308","176903","181018","184575","187710","190791","194993","199545","202989","207934","219773","228624","227046","223421","223301","225516","227113","228513","229783","230192","230714","232642","234557","236065","238023","239595","241436","243139","243022","242947","243593","243953","245180","245675","245575","244273","243809","243207","",
"Congo, Rep.","COG","Number of infant deaths","SH.DTH.IMRT","5144","5075","5024","5000","4998","5001","5002","5000","5013","5040","5068","5116","5169","5215","5233","5264","5265","5234","5194","5154","5113","5079","5050","5019","4991","4984","5006","5061","5136","5250","5399","5604","5868","6166","6501","6867","7261","7655","7923","8082","8134","8249","8284","8026","7767","7537","7335","7187","7110","7088","7170","7221","7143","7001","6795","6603","6403","6229","6091","6296","5810","5700","5574","",
"Colombia","COL","Number of infant deaths","SH.DTH.IMRT","66160","65720","65122","64338","63451","62238","60696","58976","57036","54895","52719","50649","48624","46724","45020","43485","42080","40723","39366","38050","36611","35133","33715","32288","30950","31474","28752","27885","27119","26467","25893","25313","24656","23930","23150","22327","21481","20628","19826","19092","18389","17706","17030","16357","15680","14996","14318","13671","13062","12483","11958","11488","11057","10641","10248","9871","9495","9150","8835","8602","8358","8057","7722","",
"Comoros","COM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","1649","1654","1662","1671","1681","1689","1698","1705","1715","1721","1724","1721","1709","1691","1673","1654","1634","1616","1596","1573","1548","1519","1484","1447","1417","1398","1382","1365","1350","1329","1308","1292","1272","1258","1253","1241","1226","1211","1202","1195","1184","1168","1145","1123","1098","1072","1047","1021","996","970","944","918","",
"Cabo Verde","CPV","Number of infant deaths","SH.DTH.IMRT","1136","1136","1134","1135","1134","1130","1123","1114","1103","1089","1074","1058","1035","997","955","916","880","847","819","799","787","786","788","788","783","771","752","725","694","663","635","619","612","608","600","581","551","510","464","418","378","343","317","299","288","283","279","275","270","261","246","232","215","194","180","167","156","147","134","122","115","110","105","",
"Costa Rica","CRI","Number of infant deaths","SH.DTH.IMRT","4017","3932","4161","4441","4533","4427","4219","3993","3787","3710","3661","3474","3166","2846","2607","2391","2138","1857","1610","1452","1379","1381","1446","1530","1592","1611","1561","1440","1309","1227","1186","1151","1108","1072","1048","1033","1020","1007","976","928","874","821","775","745","729","719","714","713","715","708","684","657","629","598","571","550","531","519","505","479","446","426","419","",
