"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Spain","ESP","Number of infant deaths","SH.DTH.IMRT","30595","29129","27588","26605","26058","24884","23253","22117","20844","19373","17948","16768","15682","14470","13517","12515","11537","10548","9425","8305","7254","6332","5605","5037","4587","4241","3918","3645","3423","3211","3008","2823","2657","2463","2230","2024","1881","1789","1711","1674","1694","1703","1694","1716","1745","1742","1730","1713","1712","1651","1543","1454","1361","1261","1192","1160","1124","1077","1015","959","927","917","905","",
"Estonia","EST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","381","375","371","368","357","350","354","355","346","324","289","258","226","194","174","158","143","127","117","111","103","94","88","83","80","75","72","68","63","57","51","44","39","36","33","31","29","27","25","23","21","20","",
"Ethiopia","ETH","Number of infant deaths","SH.DTH.IMRT","","","","","","","","178308","184148","190438","196652","202463","207786","213047","218581","224272","229904","236137","239832","242593","244340","243178","246607","252332","256181","260252","264019","266838","269554","273005","277099","280274","282299","282735","280968","278137","275474","272201","266679","261001","255351","249431","243180","234672","225807","217864","209468","201309","192773","183601","175540","169000","162198","155194","149922","146579","143883","141179","139027","138159","136688","134477","131984","",
"European Union","EUU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51767","48348","45024","41676","38364","35193","32590","30661","28864","27259","26059","24827","23604","22750","22076","21418","20742","20096","19728","19255","18462","17489","16640","15945","15496","15234","14979","14699","14196","13616","13102","12766","12550","",
"Fragile and conflict affected situations","FCS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1857125","1870032","1882600","1902223","1919906","1942345","1956695","1948161","1930376","1920400","1915208","1903022","1888096","1872893","1855192","1835471","1818924","1802639","1799166","1774066","1771934","1757284","1749302","1734927","1722424","1712375","1702340","1689847","1677003","1662235","1647260","1632754","1613754","",
"Finland","FIN","Number of infant deaths","SH.DTH.IMRT","1810","1682","1579","1502","1416","1311","1225","1163","1085","978","877","793","718","657","639","643","624","580","528","484","451","427","418","415","403","385","368","357","359","361","356","346","331","311","291","272","251","233","218","208","200","192","186","182","180","176","171","166","160","154","149","141","134","126","119","113","107","100","94","89","87","88","89","",
"Fiji","FJI","Number of infant deaths","SH.DTH.IMRT","1031","992","971","954","920","888","861","834","814","805","795","788","776","762","756","765","781","788","788","784","772","755","735","714","695","673","646","622","601","577","555","532","506","480","456","437","423","410","398","392","390","391","396","402","408","412","419","423","418","408","392","375","363","358","357","360","366","374","384","399","411","418","421","",
"France","FRA","Number of infant deaths","SH.DTH.IMRT","19344","18424","17610","17009","16548","15779","15068","14343","13653","13171","12740","12430","12046","11343","10474","9506","8703","8362","8112","7865","7859","7792","7499","6983","6588","6450","6354","6208","6037","5864","5630","5344","4957","4454","4012","3746","3544","3337","3214","3148","3095","3005","2849","2705","2609","2546","2536","2517","2490","2480","2467","2443","2414","2408","2426","2434","2420","2406","2383","2354","2301","2249","2213","",
"Faroe Islands","FRO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Number of infant deaths","SH.DTH.IMRT","162","161","160","159","158","156","154","153","152","151","150","150","148","146","143","141","140","140","140","141","142","142","144","144","144","144","142","140","138","135","131","129","128","127","127","126","125","123","120","117","112","107","108","97","94","91","88","85","82","78","74","71","69","66","64","61","59","57","55","53","51","49","48","",
"Gabon","GAB","Number of infant deaths","SH.DTH.IMRT","","","","","","2033","2029","2024","2018","2017","2024","2037","2050","2057","2056","2061","2072","2084","2096","2103","2112","2126","2135","2140","2142","2142","2147","2159","2174","2178","2183","2188","2202","2215","2217","2210","2208","2214","2227","2230","2233","2237","2236","2229","2223","2222","2230","2224","2234","2269","2284","2295","2282","2247","2237","2197","2136","2105","2045","1972","1886","1862","1825","",
"United Kingdom","GBR","Number of infant deaths","SH.DTH.IMRT","20598","20982","21115","20999","20788","20233","19313","18503","17838","17145","16432","15892","14835","13327","12092","11006","10074","9353","9011","9041","8942","8433","7849","7479","7264","7183","7096","6991","6858","6539","6189","5831","5415","5031","4724","4492","4342","4239","4121","3979","3814","3675","3600","3619","3681","3680","3676","3700","3696","3614","3515","3424","3324","3179","3051","3010","2988","2925","2817","2703","2571","2472","2419","",
"Georgia","GEO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","5258","5112","5009","4926","4840","4752","4658","4589","4563","4532","4455","4304","4153","4088","4067","3939","3651","3318","3016","2755","2527","2307","2089","1871","1674","1494","1336","1207","1111","1027","937","860","808","772","728","669","614","579","560","551","536","509","483","453","423","417","412","",
"Ghana","GHA","Number of infant deaths","SH.DTH.IMRT","41317","41884","42500","43125","43607","44064","44618","45449","46565","47796","48913","49748","50275","50547","50614","50439","50127","49977","50316","51072","52208","53557","54677","55681","56641","56543","55456","54052","52316","50478","49061","48019","47120","46452","45740","45179","44726","44368","44290","44191","44212","43880","43180","42579","42059","42095","41917","41127","40435","39747","39152","38601","37964","37170","36131","35292","34176","32330","31268","30763","29945","29174","28470","",
"Gibraltar","GIB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Number of infant deaths","SH.DTH.IMRT","32112","32488","32849","33157","33441","33751","34007","34286","34567","34890","35265","35601","35878","36095","36260","36336","36378","36433","36506","36660","36748","36746","36892","37104","37299","37541","37855","38245","38590","38776","38815","39194","39660","39592","39155","38497","37974","37537","36411","35267","34375","33320","32145","31227","30718","30418","30199","30113","30192","30358","30424","30377","30307","30296","30616","30870","30725","30522","30178","29892","29597","29243","28790","",
"Gambia, The","GMB","Number of infant deaths","SH.DTH.IMRT","2974","2996","3019","3038","3052","3061","3065","3075","3090","3109","3128","3148","3177","3209","3231","3248","3269","3291","3314","3339","3372","3408","3445","3476","3504","3533","3570","3607","3644","3680","3721","3767","3807","3837","3855","3852","3830","3809","3804","3785","3747","3719","3690","3657","3639","3630","3637","3635","3613","3592","3569","3543","3510","3461","3396","3320","3238","3158","3084","3020","2967","2923","2880","",
"Guinea-Bissau","GNB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","5963","5877","5797","5724","5605","5498","5491","5538","5594","5621","5599","5562","5506","5432","5362","5289","5237","5185","5089","4985","4884","4784","4647","4467","4303","4190","4104","4016","3905","3778","3651","3515","3399","3316","3243","3172","3098","",
"Equatorial Guinea","GNQ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","1815","1938","2082","2205","2301","2376","2438","2491","2543","2596","2649","2707","2758","2797","2832","2860","2881","2897","2921","2951","2988","3031","3074","3114","3148","3177","3198","3211","3222","3218","3201","3171","3134","3089","3042","2980","2919","2861","2795","2719","",
"Greece","GRC","Number of infant deaths","SH.DTH.IMRT","6487","6252","6009","5777","5569","5382","5193","5026","4757","4391","4070","3800","3580","3431","3373","3321","3205","3049","2882","2725","2545","2329","2120","1943","1768","1591","1432","1297","1187","1094","1019","966","924","886","851","816","778","737","690","644","604","564","523","485","452","427","408","393","387","384","376","362","346","333","325","323","321","313","300","287","277","268","256","",
"Grenada","GRD","Number of infant deaths","SH.DTH.IMRT","259","240","218","194","172","152","135","121","111","103","97","93","92","91","90","89","86","83","79","77","74","68","64","66","65","65","66","65","59","54","51","48","44","40","37","34","33","32","29","26","25","25","24","24","23","24","24","24","25","25","26","26","27","27","27","28","28","28","29","29","29","29","28","",
"Greenland","GRL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Number of infant deaths","SH.DTH.IMRT","28225","28143","28049","28002","28031","28043","28109","28140","28050","27964","27827","27666","27486","27283","27104","26904","29233","26291","26000","25704","25438","25128","27428","24155","23511","22761","22232","21886","21634","21324","20858","20339","19917","19547","19170","18787","18329","17847","17416","16911","16428","16054","15553","14936","14337","13740","13164","12705","12244","11781","11400","11048","10722","10359","10019","9747","9497","9154","8717","8229","7712","7272","6979","",
"Guam","GUM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Number of infant deaths","SH.DTH.IMRT","1608","1572","1540","1512","1488","1470","1455","1440","1426","1415","1407","1394","1383","1378","1367","1350","1334","1319","1307","1297","1281","1275","1277","1269","1252","1225","1192","1156","1119","1080","1037","993","959","935","910","884","857","828","797","766","735","703","671","641","613","590","569","549","531","514","500","487","473","462","452","440","427","414","402","400","392","375","362","",
"High income","HIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150033","142385","134183","126023","118266","111095","104981","100168","95936","92195","89292","86197","82848","80509","78638","76751","75539","74844","73699","71586","68992","66494","64399","62512","60984","59809","58392","56659","54667","52813","51017","49675","48680","",
"Hong Kong SAR, China","HKG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Number of infant deaths","SH.DTH.IMRT","13882","13743","13601","13459","13341","13244","13113","12946","12822","12712","12594","12502","12422","12302","13453","11977","11868","11689","11482","11278","11055","10806","10535","10253","9967","9684","9430","9178","8938","8724","8534","8352","8188","8047","7889","7702","7518","7343","9170","7019","6820","6577","6311","6037","5771","5522","5286","5059","4850","4652","4461","4281","4115","3960","3813","3684","3567","3461","3364","3263","3170","3074","2982","",
"Heavily indebted poor countries (HIPC)","HPC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1739851","1749363","1757514","1773990","1816775","1799555","1809289","1807472","1798982","1783668","1766514","1739785","1709009","1680504","1652497","1624714","1601462","1577042","1550979","1528113","1517359","1489862","1468300","1447571","1431946","1421063","1408165","1394927","1384352","1375800","1364330","1353025","1340629","",
"Croatia","HRV","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","1258","1187","1114","1033","943","859","781","701","638","607","507","462","452","455","460","457","412","357","330","310","290","272","259","253","243","230","225","221","211","197","187","179","171","162","156","153","151","148","144","139","133","",
"Haiti","HTI","Number of infant deaths","SH.DTH.IMRT","31958","31818","31725","31582","31419","31156","30808","30491","30173","29863","29544","29184","28769","28350","28167","28216","28258","28299","28265","28210","28131","28052","27999","27799","27505","27349","27203","27009","26743","26415","26054","25351","24532","23816","23101","22403","21740","21119","20482","19884","19423","18864","18227","17753","17378","17010","16684","16374","16088","15869","21826","15366","15054","14667","14349","14072","13802","13521","13212","12868","12500","12105","11735","",
"Hungary","HUN","Number of infant deaths","SH.DTH.IMRT","7045","6464","5885","5548","5406","5243","5206","5356","5499","5458","5310","5208","5246","5346","5789","6028","5516","4816","4179","3671","3275","2973","2737","2540","2439","2429","2364","2186","2018","1919","1884","1826","1681","1501","1356","1239","1118","1014","938","873","830","791","739","684","641","617","598","570","541","514","475","443","431","421","409","392","373","355","334","320","312","308","305","",
"IBRD only","IBD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5108845","4897864","4643532","4465260","4305441","4155814","3999524","3841334","3690016","3542477","3423798","3305188","3162920","3018526","2897640","2762557","2636418","2523058","2420438","2320243","2214077","2109367","2017244","1920764","1813194","1713100","1634552","1547786","1459252","1371355","1285240","1214176","1160502","",
"IDA & IBRD total","IBT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8726964","8514010","8253997","8074479","7942114","7756389","7581882","7392664","7200964","7008707","6846149","6675547","6478333","6273733","6091336","5891854","5711840","5553624","5420685","5269688","5133969","4986868","4861499","4726107","4579459","4441550","4324473","4202747","4080906","3960567","3841507","3737323","3646882","",
"IDA total","IDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3618119","3616146","3610465","3609219","3636673","3600575","3582358","3551330","3510948","3466230","3422351","3370359","3315413","3255207","3193696","3129297","3075422","3030566","3000247","2949445","2919892","2877501","2844255","2805343","2766265","2728450","2689921","2654961","2621654","2589212","2556267","2523147","2486380","",
"IDA blend","IDB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1205120","1220490","1233808","1240065","1245039","1249016","1248219","1241868","1232020","1226479","1222015","1217627","1213333","1201951","1187532","1174394","1164460","1161769","1161373","1160875","1158659","1155761","1148763","1137266","1122980","1105894","1091603","1078728","1064011","1048731","1033081","1014941","996104","",
"Indonesia","IDN","Number of infant deaths","SH.DTH.IMRT","563833","565171","564900","563398","560829","614678","547790","539073","528163","518441","508996","498322","487765","478624","468027","457830","448897","439672","432115","425013","416565","406985","397844","387214","374054","356109","336224","321907","311204","299333","285387","274370","263373","251671","242710","234488","227095","219734","210427","199435","190159","182506","174921","167783","171339","156961","153480","150467","146613","141269","136034","132641","129231","123163","116585","110747","105237","100060","95253","91279","87751","84300","80959","",
"IDA only","IDX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2412999","2395656","2376657","2369154","2391634","2351559","2334139","2309462","2278928","2239751","2200336","2152732","2102080","2053256","2006164","1954903","1910962","1868797","1838874","1788570","1761233","1721740","1695492","1668077","1643285","1622556","1598318","1576233","1557643","1540481","1523186","1508206","1490276","",
"Isle of Man","IMN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","2947897","2948038","2948551","2958607","2964110","2959038","2946818","2906743","2863469","2806287","2738108","2694591","2668812","2643932","2610178","2576511","2553771","2525788","2500971","2461446","2406019","2358049","2304096","2261511","2228245","2187008","2147459","2110695","2066776","2018046","1969816","1917739","1871770","1832345","1778682","1709500","1640312","1567139","1489905","1420330","1357786","1298488","1236480","1170785","1104742","1039716","967058","902874","855650","802741","752543","704046","653692","615753","586618","",
"Not classified","INX","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Number of infant deaths","SH.DTH.IMRT","1850","1749","1672","1643","1604","1533","1430","1324","1243","1207","1202","1213","1220","1211","1191","1140","1080","1031","978","926","871","801","730","664","602","558","529","502","464","423","395","374","345","317","297","291","298","311","321","323","319","318","316","304","285","265","255","261","271","273","268","258","246","233","221","209","198","187","181","176","170","164","158","",
"Iran, Islamic Rep.","IRN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","147121","141911","138891","136564","135648","134065","131747","130319","127749","123301","121657","119854","115636","111008","105445","98968","92257","85962","80228","76013","71059","64265","55672","47633","41993","37664","34846","33079","31650","30343","28918","27263","25879","24928","24113","23516","22972","22370","21763","21386","21373","21486","21430","20980","20193","19399","18118","15959","14119","13074","12271","",
"Iraq","IRQ","Number of infant deaths","SH.DTH.IMRT","32053","32601","36439","38548","37812","37135","36498","35972","35588","35351","35008","34487","33888","33246","32643","32006","31274","30569","29968","29517","29117","28858","28664","28491","28541","28554","28259","28113","28281","28611","29065","29058","28895","29180","29902","30417","30475","30688","30945","31089","31200","31194","31036","31005","31205","31215","31113","30411","29246","29155","29793","30493","30775","30656","30497","29557","28111","26760","25809","25258","24777","24300","23822","",
"Iceland","ISL","Number of infant deaths","SH.DTH.IMRT","83","79","77","78","76","73","70","65","60","56","53","52","53","52","48","45","42","39","36","36","35","32","30","29","27","24","22","22","24","24","23","22","21","21","20","18","17","16","15","14","13","13","12","11","11","10","10","10","10","11","11","10","9","9","9","9","8","8","9","9","9","9","9","",
"Israel","ISR","Number of infant deaths","SH.DTH.IMRT","1957","1877","1804","1792","1826","1868","1874","1841","1856","1933","2045","2159","2112","2068","2097","2055","1977","1808","1633","1542","1470","1396","1321","1304","1289","1240","1193","1124","1093","1085","1056","1025","953","883","843","819","816","793","767","753","735","714","692","683","667","638","618","608","601","591","583","573","561","551","543","552","558","537","513","515","503","481","473","",
"Italy","ITA","Number of infant deaths","SH.DTH.IMRT","39573","38432","37440","36532","36320","35247","33302","31468","29878","28567","26807","25100","23320","21245","19289","17119","14875","13019","11545","10300","9223","8398","7811","7240","6637","6110","5614","5229","5059","4903","4724","4532","4318","4045","3699","3392","3155","2981","2815","2670","2552","2415","2289","2200","2157","2111","2053","2013","1996","1967","1905","1825","1735","1637","1541","1458","1377","1294","1198","1102","1021","961","912","",
"Jamaica","JAM","Number of infant deaths","SH.DTH.IMRT","3890","3775","3540","3411","3373","3333","3276","3207","3112","3004","2885","2765","2645","2514","2382","2262","2148","2072","2023","1970","1929","1892","1853","1816","1778","1736","1686","1635","1581","1524","1449","1402","1397","1381","1347","1296","1208","1131","1084","1015","917","848","825","812","808","798","792","766","735","731","704","682","676","660","636","627","616","587","562","549","542","536","528","",
"Jordan","JOR","Number of infant deaths","SH.DTH.IMRT","4307","4368","4389","4380","4363","4372","4410","4469","4563","4645","4705","4753","4756","4708","4634","4560","4474","4381","4268","4162","4085","4011","3945","3897","3860","3823","3804","3780","3749","3727","3699","3708","3754","3813","3869","3901","3877","3787","3648","3515","3397","3303","3251","3230","3204","3172","3168","3328","3484","3469","3403","3314","3214","3077","3098","3274","3371","3361","3293","3214","3137","3054","2975","",
"Japan","JPN","Number of infant deaths","SH.DTH.IMRT","50265","45961","42191","39151","36676","34827","28874","27502","28963","26860","25711","24985","24305","23634","22278","20077","17902","16081","14571","13209","11956","10771","9796","9121","8520","7905","7246","6764","6441","6041","5689","5542","5450","5292","5213","5040","4803","4599","4363","4127","3951","3776","3567","3382","3217","3069","2973","2909","2818","2702","2579","2485","2348","2260","2159","2069","1981","1835","1695","1582","1495","1445","1402","",
"Kazakhstan","KAZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","21150","21053","20816","20653","20582","20567","20467","20390","20213","20235","20403","20333","20205","20019","19735","19400","18979","18402","17680","16931","16333","15710","14957","14072","12817","11444","10428","9569","8852","8267","7829","7701","7733","7735","7742","7723","7597","7243","6675","6070","5507","4987","4572","4221","3941","3728","3638","3654","3745","3729","3528","",
"Kenya","KEN","Number of infant deaths","SH.DTH.IMRT","48334","48329","48693","49133","49696","50600","51646","52476","53192","53855","54378","54900","55199","55058","54864","54648","54486","54192","53892","53737","53586","53677","53876","53988","54489","55344","56587","58210","59985","61945","63967","65902","67504","68766","69667","70450","71030","71303","71405","71031","70044","68926","67343","65112","62758","60230","58486","57321","55219","54755","54070","53077","52819","51738","50296","48943","48613","48417","47515","46643","45934","45109","44881","",
"Kyrgyz Republic","KGZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","9199","9190","9155","9057","8876","8779","8787","8750","8737","8650","8493","8239","7866","7534","7302","7201","7165","6992","6686","6478","6127","5585","5160","4839","4514","4259","4118","4026","3992","3976","3970","3982","3959","3918","3867","3803","3717","3595","3463","3311","3120","2935","2834","2742","2595","2477","2402","",
"Cambodia","KHM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","25416","30243","31543","30682","30789","31276","31639","31795","32161","32618","32700","32917","33541","33956","34564","34981","34380","33006","31467","29660","28017","26286","24118","22083","20238","18680","17436","16392","15541","14648","13614","12636","11725","10985","10389","9848","9342","8842","8377","7913","7506","7136","6788","6476","",
"Kiribati","KIR","Number of infant deaths","SH.DTH.IMRT","267","269","268","263","258","254","250","242","228","215","204","197","191","187","186","184","181","180","180","179","180","184","187","189","190","191","191","190","187","184","180","176","171","165","160","155","152","150","146","142","138","133","130","127","127","130","134","138","142","145","148","151","153","153","154","155","157","158","160","160","158","156","153","",
"St. Kitts and Nevis","KNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","63","63","62","60","56","52","49","48","47","44","39","35","32","29","27","26","25","23","21","20","20","20","20","19","19","18","17","16","14","14","13","12","12","12","11","11","11","11","11","11","10","10","10","10","9","9","8","8","8","",
"Korea, Rep.","KOR","Number of infant deaths","SH.DTH.IMRT","84659","81805","78491","74328","69824","65164","60418","55793","51248","47915","45616","42759","39694","37049","34740","32408","30167","28390","26576","25390","24836","24340","23152","20723","17872","15288","13324","11846","10703","9846","9193","8756","8298","7618","6921","6310","5723","5188","4690","4226","3842","3408","2933","2595","2351","2104","1930","1859","1763","1635","1573","1549","1512","1434","1348","1288","1206","1081","951","846","771","720","681","",
"Kuwait","KWT","Number of infant deaths","SH.DTH.IMRT","1264","1314","1364","1425","1487","1543","1596","1655","1722","1777","1806","1801","1778","1752","1724","1703","1686","1664","1629","1584","1525","1443","1364","1295","1220","1131","1047","970","895","828","813","524","383","437","454","482","495","486","470","457","451","454","462","472","481","486","497","516","533","546","553","555","554","550","547","518","476","451","435","423","406","362","316","",
"Latin America & Caribbean (excluding high income)","LAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490780","471192","450885","430999","411425","391621","371651","351815","335724","315716","298708","282107","266019","250625","237546","226250","215269","204840","195461","187506","186708","174148","167947","161796","156540","151747","149408","141153","137118","132094","126585","121496","117092","",
"Lao PDR","LAO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","19288","19069","18940","18916","18943","19003","19050","19078","19059","19008","18929","18813","18641","18372","18015","17490","16826","16172","15537","14903","14359","13702","12944","12273","11696","11243","10778","10373","10045","9650","9224","8777","8339","7924","7527","7158","6860","6611","6372","6130","5902","5691","5494","5283","",
"Lebanon","LBN","Number of infant deaths","SH.DTH.IMRT","3831","3792","3760","3736","3703","3664","3626","3607","3600","3612","3637","3663","3701","3738","3765","3774","3753","4204","4621","4121","3660","3627","3558","3440","3313","3176","3039","2931","2842","2761","2651","2505","2358","2217","2081","1958","1859","1768","1672","1584","1501","1423","1343","1255","1167","1089","1027","980","948","933","936","949","962","990","1095","1226","1264","1246","1226","1212","1203","1211","1231","",
"Liberia","LBR","Number of infant deaths","SH.DTH.IMRT","10846","11198","11534","11850","12132","12374","12565","12730","12867","12988","13017","13006","13100","13281","13446","13618","13790","13968","14155","14353","14513","14630","14756","14956","15247","15712","16357","17028","17766","18537","19271","16986","15033","15701","15920","15351","14923","14611","15044","15693","15498","14893","14146","13346","12411","11731","11540","11489","11330","11075","10807","10606","10677","10630","10675","10105","9897","9764","9601","9417","9222","9048","8900","",
"Libya","LBY","Number of infant deaths","SH.DTH.IMRT","11127","11010","10929","10882","10819","10659","10308","9794","9244","8739","8284","7874","7474","7103","6903","6781","6665","6575","6520","6477","6344","6147","6007","5908","5790","5669","5494","5276","5020","4736","4447","4164","3900","3653","3437","3254","3104","2970","2840","2724","2624","2660","2738","2732","2711","2668","2592","2465","2320","2194","2124","2322","1836","1594","1559","1502","1421","1348","1280","1218","1161","1106","1051","",
"St. Lucia","LCA","Number of infant deaths","SH.DTH.IMRT","392","376","358","339","319","300","280","260","241","222","205","190","178","166","156","146","138","130","122","115","109","102","96","91","87","83","80","77","74","71","69","67","65","63","62","60","58","56","54","51","48","45","43","41","39","38","37","36","36","35","35","35","35","35","35","35","35","35","35","34","34","33","33","",
"Latin America & Caribbean","LCN","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","514323","493833","472701","452108","431952","411577","390975","370473","353695","333009","315344","298199","281690","265874","252337","240625","229264","218529","208957","200882","199998","187388","181180","175067","169881","165528","165708","157125","152496","146549","140059","134348","129515","",
"Least developed countries: UN classification","LDC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2318727","2303653","2286952","2282038","2307602","2270338","2256079","2234654","2203823","2169541","2133112","2088577","2041061","1994922","1948101","1899963","1856479","1814954","1784856","1732953","1706838","1665378","1634398","1607438","1586521","1569170","1548632","1528548","1511288","1497287","1481576","1467854","1450961","",
"Low income","LIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1403462","1411319","1416071","1429386","1468390","1461659","1466858","1462124","1449760","1436607","1421623","1400000","1376401","1343251","1321435","1298927","1279691","1261564","1241694","1223899","1210782","1194917","1184012","1168823","1154154","1142826","1129489","1119829","1112732","1105469","1098765","1093555","1085406","",
"Liechtenstein","LIE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Number of infant deaths","SH.DTH.IMRT","24038","23154","22605","22393","22279","21995","21492","21166","20830","20340","19983","19667","19460","19309","18856","18391","18015","17436","16872","16336","15456","14491","13270","11780","10499","9392","8366","7557","7012","7312","6698","6639","6600","6458","6235","6012","5756","5466","5150","4925","4839","4827","4800","4717","6413","4452","4316","4122","3881","5016","3509","3384","3245","3056","2820","2583","2389","2232","2091","1973","1864","1767","1684","",
"Lower middle income","LMC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5083780","5015782","4955588","4878782","4802337","4725504","4634765","4539616","4447371","4350745","4264714","4185536","4090967","3973828","3856269","3733143","3613847","3511575","3432946","3334733","3250173","3151167","3058224","2966434","2865353","2769485","2689571","2603774","2521298","2440237","2356696","2284898","2221412","",
"Low & middle income","LMY","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8667632","8462415","8207313","8031838","7901826","7732770","7560053","7372347","7182159","6991502","6829839","6659434","6461956","6245866","6064369","5866248","5687561","5530213","5397453","5246549","5110674","4963551","4838180","4702987","4557122","4419652","4301304","4181309","4061493","3943158","3825843","3722691","3633376","",
"Lesotho","LSO","Number of infant deaths","SH.DTH.IMRT","4423","4525","4638","4763","4884","5012","5132","5226","5288","5321","5344","5388","5433","5463","5512","5575","5604","5581","5478","5335","5189","5038","4891","4770","4663","4554","4474","4442","4390","4297","4200","4141","4125","4114","4119","4143","4185","4206","4185","4131","4100","4100","4147","4190","4179","4140","4111","4072","4248","3987","3771","3662","3747","3808","3772","3742","3756","3724","3653","3599","3496","3398","3326","",
"Late-demographic dividend","LTE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1719274","1590300","1403401","1304094","1221420","1159419","1080485","1002958","931025","864496","817749","761043","694567","629617","587257","546853","510782","480712","456340","435274","408468","382686","367923","348493","326578","304760","287974","270404","246044","221347","199944","179947","168206","",
"Lithuania","LTU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1151","1080","1007","965","939","914","915","936","945","939","916","886","856","835","826","846","855","828","791","741","687","663","693","759","810","763","629","519","448","397","365","343","317","281","251","237","230","222","211","198","185","172","156","142","133","128","126","126","120","107","95","86","81","78","76","",
